Department,Amount
Culture & Recreation,28766762.72999993
General  Administration & Finance,38615720.64999996
General City Responsibilities,83252806.62999997
Human Welfare & Neighborhood Development,15317747.09000004
Other,33304834.259999983
Public Protection,36471461.08000006
Public Works/Transportation & Commerce,880381885.7299995
