City,State,Population
Olathe, Kansas,"139,758"
Dayton, Ohio,"140,439"
Carrollton, Texas,"137,013"
Waco, Texas,"137,886"
Orange, California,"139,449"
Fullerton, California,"139,273"
Charleston, South Carolina,"136,111"
West Valley City, Utah,"135,982"
Visalia, California,"133,428"
Hampton, Virginia,"134,330"
Gainesville, Florida,"133,665"
Warren, Michigan,"134,376"
Coral Springs, Florida,"133,712"
Cedar Rapids, Iowa,"133,209"
Round Rock, Texas,"128,849"
Sterling Heights, Michigan,"132,725"
Kent, Washington,"131,734"
Columbia, South Carolina,"132,770"
Santa Clara, California,"129,085"
New Haven, Connecticut,"129,993"
Stamford, Connecticut,"129,806"
Concord, California,"129,743"
Elizabeth, New Jersey,"128,599"
Athens-Clarke County unified government, Georgia,"125,857"
Thousand Oaks, California,"127,279"
Lafayette, Louisiana,"126,371"
Simi Valley, California,"125,438"
Topeka, Kansas,"125,778"
Norman, Oklahoma,"123,844"
Fargo, North Dakota,"124,091"
Wilmington, North Carolina,"122,616"
Abilene, Texas,"122,775"
Odessa, Texas,"120,037"
Columbia, Missouri,"122,533"
Pearland, Texas,"121,424"
Victorville, California,"121,952"
Hartford, Connecticut,"122,556"
Vallejo, California,"121,677"
Allentown, Pennsylvania,"121,537"
Berkeley, California,"121,663"
Richardson, Texas,"119,878"
Arvada, Colorado,"120,421"
Ann Arbor, Michigan,"121,429"
Rochester, Minnesota,"117,047"
Cambridge, Massachusetts,"118,151"
Sugar Land, Texas,"118,777"
Lansing, Michigan,"117,931"
Evansville, Indiana,"118,060"
College Station, Texas,"116,035"
Fairfield, California,"116,678"
Clearwater, Florida,"116,324"
Beaumont, Texas,"117,667"
Independence, Missouri,"117,017"
Provo, Utah,"116,630"
West Jordan, Utah,"115,610"
Murrieta, California,"114,715"
Palm Bay, Florida,"113,854"
El Monte, California,"115,308"
Carlsbad, California,"115,518"
North Charleston, South Carolina,"113,077"
Temecula, California,"114,614"
Clovis, California,"111,824"
Springfield, Illinois,"114,840"
Meridian, Idaho,"106,464"
Westminster, Colorado,"113,227"
Costa Mesa, California,"113,302"
High Point, North Carolina,"112,073"
Manchester, New Hampshire,"112,492"
Pueblo, Colorado,"111,725"
Lakeland, Florida,"110,421"
Pompano Beach, Florida,"111,636"
West Palm Beach, Florida,"111,058"
Antioch, California,"111,578"
Everett, Washington,"111,088"
Downey, California,"111,915"
Lowell, Massachusetts,"111,362"
Centennial, Colorado,"110,814"
Elgin, Illinois,"111,490"
Richmond, California,"110,189"
Peoria, Illinois,"111,449"
Broken Arrow, Oklahoma,"109,068"
Miami Gardens, Florida,"111,144"
Billings, Montana,"109,444"
Jurupa Valley, California,"108,314"
Sandy Springs, Georgia,"108,846"
Gresham, Oregon,"109,808"
Lewisville, Texas,"106,938"
Hillsboro, Oregon,"108,201"
San Buenaventura (Ventura), California,"110,731"
Greeley, Colorado,"107,475"
Inglewood, California,"109,038"
Waterbury, Connecticut,"108,123"
League City, Texas,"106,005"
Santa Maria, California,"107,218"
Tyler, Texas,"105,668"
Davie, Florida,"106,131"
Daly City, California,"106,869"
Boulder, Colorado,"106,008"
Allen, Texas,"103,577"
West Covina, California,"105,964"
Sparks, Nevada,"103,979"
Wichita Falls, Texas,"104,356"
Green Bay, Wisconsin,"104,833"
San Mateo, California,"104,885"
Norwalk, California,"104,798"
Rialto, California,"103,232"
Las Cruces, New Mexico,"102,812"
Chico, California,"94,342"
El Cajon, California,"103,041"
Burbank, California,"103,349"
South Bend, Indiana,"101,971"
Renton, Washington,"101,787"
Vista, California,"100,784"
Davenport, Iowa,"101,918"
Edinburg, Texas,"98,036"
Tuscaloosa, Alabama,"100,190"
Carmel, Indiana,"99,143"
Spokane Valley, Washington,"99,308"
San Angelo, Texas,"100,009"
Vacaville, California,"99,949"
Bend, Oregon,"97,620"
Kenosha, Wisconsin,"99,908"
Boca Raton, Florida,"99,351"
Lee's Summit, Missouri,"98,522"
Nampa, Idaho,"96,213"
Rio Rancho, New Mexico,"97,982"
South Fulton, Georgia,"97,278"
Roanoke, Virginia,"99,009"
Beaverton, Oregon,"98,775"
Yuma, Arizona,"97,648"
Lawrence, Kansas,"97,187"
Orem, Utah,"97,430"
Longmont, Colorado,"96,536"
San Marcos, California,"96,480"
Albany, New York,"97,011"
Sandy, Utah,"96,737"
Concord, North Carolina,"94,192"
Federal Way, Washington,"96,726"
Hesperia, California,"95,013"
Brockton, Massachusetts,"95,723"
